Scenario,Epochs,MSE_V,MSE_N,Total_MSE,RMSE_V,RMSE_N,RMSPE_V,RMSPE_N,MAPE_V,MAPE_N,MAE_V,MAE_N,R2_V,R2_N,MAXERR_V,MAXERR_N,Training_Time_Sec,FLOPs,Params
hopf,1000,428.8280305259928,0.013129590038906382,428.8411601160317,20.708163378870488,0.11458442319489322,48.344551010349726,0.6062889858838713,214.80079179196596,48.46959713844187,15.298765930520448,0.08952751537421245,0.35528087253402574,0.30996127150107355,53.275197443463455,0.27648015687034,232.1806338329916,33280.0,33666.0
hopf,2000,28.104482464666983,0.00013833511939387593,28.104620799786378,5.30136609419374,0.011761595104146204,12.639570552687193,0.06785630249236618,65.19218278044542,5.341885922145777,2.984105068562573,0.009772913221379026,0.9577464714928317,0.9927296595239886,31.27022275305344,0.02802478787043039,488.8226178329787,33280.0,33666.0
hopf,5000,13.974243319744234,2.9287355510955008e-05,13.974272607099746,3.738213921078385,0.005411779329477044,7.17548555261501,0.044181116555593695,36.55207282638522,2.6369153190423655,1.8521246911100648,0.0043401555547720235,0.9789905012761132,0.9984607737562262,25.789066776701063,0.014627034978426934,1293.660388624994,33280.0,33666.0
hopf,10000,8.130268068235965,1.2180318215385457e-05,8.13028024855418,2.8513624933066586,0.0034900312628091826,9.313908030862049,0.04094007316932618,38.000535699811934,1.635912804498374,1.143356912369372,0.002507260471256959,0.9877765935016232,0.9993598512010542,22.396648470052924,0.01306115129490848,2857.5417416249984,33280.0,33666.0
hopf,20000,21.05170804668743,0.00017998968038854325,21.05188803636782,4.588214036712698,0.013416023270274365,6.92037323887203,0.07162483660937627,40.50895617391571,4.7394497621349005,2.991094740839655,0.009664154457751971,0.9683499261303394,0.9905404624340743,22.90075511640302,0.047787324712397106,5833.40205491602,33280.0,33666.0
snlc,1000,281.196025640794,0.013820488116885642,281.2098461289109,16.768900549552853,0.11756057211874074,26.922692641485607,6.6360439134924825,143.53510804056702,527.6687649650892,11.402550915279758,0.07908426199778994,0.23138950686070292,-0.06120095695000449,58.13702736774563,0.38671692191528945,249.01207266599522,33280.0,33666.0
snlc,2000,78.93328740569737,0.0010329148359293882,78.9343203205333,8.884440748054848,0.03213899245355069,13.695690150436125,1.593698025300135,61.77407177792611,130.9219558687047,6.529926775749274,0.02135059483619112,0.7842467623084446,0.9206880246872836,27.00974739063495,0.1442569480262142,542.978600582981,33280.0,33666.0
snlc,5000,250.61450550361866,0.01165887485150609,250.62616437847018,15.83080874445834,0.10797626985364002,27.604794564481335,5.332610538348618,124.8415561156567,412.2676809327054,10.406560527076712,0.0708414155019369,0.3149798677842597,0.10477770070492665,58.191130057092025,0.3709803467175187,1302.4176250419987,33280.0,33666.0
snlc,10000,28.499991036998395,0.000123749948243309,28.50011478694664,5.338538286553576,0.011124295404352988,3.110838274197695,0.5183018831513122,25.000041413004183,38.475389221358405,3.5244888155818614,0.007366752872536684,0.9220992113402224,0.9904979069923107,22.275325225872905,0.04187190092189613,2904.199523458985,33280.0,33666.0
snlc,20000,19.270233221278176,0.00010219121569395758,19.270335412493868,4.389787377684502,0.010108967093326478,3.3186034548727976,0.6598092957436649,22.963850642389865,52.49035351397956,2.957226974926745,0.0071513039402342285,0.9473274793789719,0.9921532861235332,19.26151690030817,0.046894525589526545,6143.115555708006,33280.0,33666.0
homoclinic,1000,23.23128800860591,0.004518866985387136,23.235806875591297,4.819884646815306,0.06722251843978427,3.7826521563958853,0.41088221431112587,83.02316811332922,16.84584505444069,2.6329956432041652,0.035449107792580835,0.13378729921501875,-0.05829773469899058,23.077908503383764,0.3471754275254372,251.52371787498123,33280.0,33666.0
homoclinic,2000,23.582422112105967,0.0036484263682937767,23.58607053847426,4.8561736081101925,0.06040220499529613,3.6165031635634706,0.4093691953599476,81.25276415817632,16.294448918788053,2.662979916953797,0.033456853652186105,0.12069474834061933,0.14555542943236632,22.200782440673173,0.26047702428377045,566.7092330830055,33280.0,33666.0
homoclinic,5000,23.88933624954188,0.003314775010594567,23.892651024552475,4.887671863939096,0.05757408280289463,3.443022265452329,0.42094965228997794,79.0246756426644,16.10783734570224,2.67091448119791,0.03239276526848707,0.10925100386123576,0.22369503326982365,21.82035432991422,0.2247345421382403,1708.7934860410169,33280.0,33666.0
homoclinic,10000,24.136194478653326,0.0033134769439459887,24.13950795559727,4.9128601118547355,0.057562808687085354,3.4925381064308776,0.4387490350072816,80.21271535623279,16.471004102939933,2.6843981192686956,0.03234268828949077,0.10004653214746717,0.22399903447147917,21.93414064503795,0.21958401537623162,3142.9864432920003,33280.0,33666.0
homoclinic,20000,25.39491601549953,0.0036164631119388726,25.398532478611468,5.039336862673454,0.060137036108698215,3.31161735598032,0.4791530355046788,80.56712612667,17.61844011674828,2.9358353177205863,0.03415558514028858,0.05311325055051619,0.1530410761450014,19.920130896122945,0.22807661786024847,5201.114990958013,33280.0,33666.0
