Scenario,Epochs,MSE_V,MSE_N,Total_MSE,RMSE_V,RMSE_N,RMSPE_V,RMSPE_N,MAPE_V,MAPE_N,MAE_V,MAE_N,R2_V,R2_N,MAXERR_V,MAXERR_N,Training_Time_Sec,FLOPs,Params,Model
hopf,1000,428.8280305259928,0.0131295900389063,428.8411601160317,20.708163378870488,0.1145844231948932,48.344551010349726,0.6062889858838713,214.800791791966,48.46959713844187,15.298765930520448,0.0895275153742124,0.3552808725340257,0.3099612715010735,53.275197443463455,0.27648015687034,232.1806338329916,33280.0,33666.0,NODE
hopf,2000,28.104482464666983,0.0001383351193938,28.104620799786378,5.30136609419374,0.0117615951041462,12.639570552687193,0.0678563024923661,65.19218278044542,5.341885922145777,2.984105068562573,0.009772913221379,0.9577464714928317,0.9927296595239886,31.27022275305344,0.0280247878704303,488.8226178329787,33280.0,33666.0,NODE
hopf,5000,13.974243319744234,2.9287355510955008e-05,13.974272607099746,3.738213921078385,0.005411779329477,7.17548555261501,0.0441811165555936,36.55207282638522,2.636915319042365,1.8521246911100648,0.004340155554772,0.9789905012761132,0.9984607737562262,25.789066776701063,0.0146270349784269,1293.660388624994,33280.0,33666.0,NODE
hopf,10000,8.130268068235965,1.2180318215385456e-05,8.13028024855418,2.8513624933066586,0.0034900312628091,9.313908030862049,0.0409400731693261,38.000535699811934,1.635912804498374,1.143356912369372,0.0025072604712569,0.9877765935016232,0.9993598512010542,22.396648470052924,0.0130611512949084,2857.5417416249984,33280.0,33666.0,NODE
hopf,20000,21.05170804668743,0.0001799896803885,21.05188803636782,4.588214036712698,0.0134160232702743,6.92037323887203,0.0716248366093762,40.50895617391571,4.7394497621349005,2.991094740839655,0.0096641544577519,0.9683499261303394,0.9905404624340745,22.90075511640302,0.0477873247123971,5833.40205491602,33280.0,33666.0,NODE
snlc,1000,281.196025640794,0.0138204881168856,281.2098461289109,16.768900549552853,0.1175605721187407,26.922692641485607,6.6360439134924825,143.53510804056702,527.6687649650892,11.402550915279758,0.0790842619977899,0.2313895068607029,-0.0612009569500044,58.13702736774563,0.3867169219152894,249.0120726659952,33280.0,33666.0,NODE
snlc,2000,78.93328740569737,0.0010329148359293,78.9343203205333,8.884440748054848,0.0321389924535506,13.695690150436125,1.593698025300135,61.77407177792611,130.9219558687047,6.529926775749274,0.0213505948361911,0.7842467623084446,0.9206880246872836,27.00974739063495,0.1442569480262142,542.978600582981,33280.0,33666.0,NODE
snlc,5000,250.61450550361863,0.011658874851506,250.62616437847015,15.83080874445834,0.10797626985364,27.60479456448133,5.332610538348618,124.8415561156567,412.2676809327054,10.406560527076712,0.0708414155019369,0.3149798677842597,0.1047777007049266,58.191130057092025,0.3709803467175187,1302.4176250419987,33280.0,33666.0,NODE
snlc,10000,28.499991036998395,0.0001237499482433,28.50011478694664,5.338538286553576,0.0111242954043529,3.110838274197695,0.5183018831513122,25.000041413004183,38.475389221358405,3.524488815581861,0.0073667528725366,0.9220992113402224,0.9904979069923108,22.275325225872905,0.0418719009218961,2904.199523458985,33280.0,33666.0,NODE
snlc,20000,19.270233221278176,0.0001021912156939,19.270335412493868,4.389787377684502,0.0101089670933264,3.3186034548727976,0.6598092957436649,22.963850642389865,52.49035351397956,2.957226974926745,0.0071513039402342,0.947327479378972,0.9921532861235332,19.26151690030817,0.0468945255895265,6143.115555708006,33280.0,33666.0,NODE
homoclinic,1000,23.23128800860591,0.0045188669853871,23.235806875591297,4.819884646815306,0.0672225184397842,3.782652156395885,0.4108822143111258,83.02316811332922,16.84584505444069,2.632995643204165,0.0354491077925808,0.1337872992150187,-0.0582977346989905,23.077908503383764,0.3471754275254372,251.52371787498123,33280.0,33666.0,NODE
homoclinic,2000,23.582422112105967,0.0036484263682937,23.58607053847426,4.8561736081101925,0.0604022049952961,3.616503163563471,0.4093691953599476,81.25276415817632,16.294448918788053,2.662979916953797,0.0334568536521861,0.1206947483406193,0.1455554294323663,22.200782440673173,0.2604770242837704,566.7092330830055,33280.0,33666.0,NODE
homoclinic,5000,23.88933624954188,0.0033147750105945,23.892651024552475,4.887671863939096,0.0575740828028946,3.443022265452329,0.4209496522899779,79.0246756426644,16.10783734570224,2.67091448119791,0.032392765268487,0.1092510038612357,0.2236950332698236,21.82035432991422,0.2247345421382403,1708.7934860410169,33280.0,33666.0,NODE
homoclinic,10000,24.136194478653326,0.0033134769439459,24.13950795559727,4.912860111854736,0.0575628086870853,3.4925381064308776,0.4387490350072816,80.21271535623279,16.471004102939933,2.684398119268696,0.0323426882894907,0.1000465321474671,0.2239990344714791,21.93414064503795,0.2195840153762316,3142.9864432920003,33280.0,33666.0,NODE
homoclinic,20000,25.39491601549953,0.0036164631119388,25.398532478611468,5.039336862673454,0.0601370361086982,3.31161735598032,0.4791530355046788,80.56712612667,17.61844011674828,2.9358353177205863,0.0341555851402885,0.0531132505505161,0.1530410761450014,19.920130896122945,0.2280766178602484,5201.114990958013,33280.0,33666.0,NODE
hopf,1000,465.6213309449999,0.0230324885636227,465.6443634335635,21.57826060981283,0.1517645827049997,48580439.41995296,544101.5585198206,88695577.18020838,993439.7765613344,16.26030782532898,0.0981674640106092,0.2999641887956993,-0.2104954591508403,56.59845362634237,0.3709658455258104,6.890069124987349,33152.0,33538.0,PINN
hopf,2000,366.2265553976915,0.0161927376930425,366.24274813538455,19.137046673865107,0.1272506883794447,7750846.822631726,490921.7030836127,14151248.974231746,896333.4633528042,12.9222004661611,0.0769230742418127,0.4493987136026144,0.1489744846934747,57.480030155993006,0.374545741768335,15.13430237499415,33152.0,33538.0,PINN
