t,V,N
104.23474491497166,-28.468173269245106,0.008455361459574021
104.3347782594198,-28.4553804476133,0.008467156898003194
104.43481160386796,-28.442572069139462,0.008478972287577005
104.5348449483161,-28.42974792895569,0.00849080781061189
104.63487829276426,-28.416907821045353,0.008502663650690332
104.7349116372124,-28.404051538243124,0.008514539992660858
104.83494498166056,-28.391178872234946,0.008526437022638035
104.9349783261087,-28.378289613558064,0.008538354928002478
105.03501167055686,-28.365383551600992,0.008550293897400842
105.135045015005,-28.352460474603546,0.008562254120745821
105.23507835945315,-28.33952016965682,0.008574235789216162
105.3351117039013,-28.32656242270319,0.008586239095256645
105.43514504834945,-28.31358701853633,0.008598264232578102
105.5351783927976,-28.30059374080119,0.008610311396157401
105.63521173724575,-28.28758237199401,0.008622380782237458
105.7352450816939,-28.27455269346232,0.00863447258832723
105.83527842614205,-28.26150448540492,0.008646587013201715
105.9353117705902,-28.24843752687192,0.00865872425690196
106.03534511503835,-28.2353515957647,0.008670884520735049
106.1353784594865,-28.222246468835934,0.008683068007274112
106.23541180393465,-28.20912192168957,0.008695274920358325
106.3354451483828,-28.195977728780857,0.0087075054650929
106.43547849283095,-28.18281366341632,0.0087197598478491
106.5355118372791,-28.16962949775378,0.008732038276264226
106.63554518172725,-28.156425002802326,0.008744340959241623
106.7355785261754,-28.143199948422357,0.008756668106950681
106.83561187062355,-28.129954103325538,0.00876901993082683
106.9356452150717,-28.116687235074835,0.008781396643571547
107.03567855951985,-28.10339911008449,0.008793798459152348
107.135711903968,-28.09008949362003,0.008806225592802797
107.23574524841615,-28.07675814979828,0.008818678261022495
107.3357785928643,-28.06340484158734,0.008831156681577095
107.43581193731244,-28.050029330806602,0.00884366107349828
107.53584528176059,-28.03663137812674,0.008856191657083791
107.63587862620874,-28.023210740008828,0.00886874865704744
107.73591197065689,-28.00976704412951,0.008881332432093504
107.83594531510504,-27.996299986994874,0.008893943274080806
107.93597865955319,-27.98280933504346,0.008906581403590061
108.03601200400134,-27.96929485159367,0.00891924704441365
108.13604534844949,-27.955756296843752,0.008931940423555626
108.23607869289764,-27.942193427871814,0.008944661771231717
108.33611203734579,-27.92860599863581,0.008957411320869323
108.43614538179393,-27.91499375997356,0.00897018930910751
108.53617872624208,-27.90135645960272,0.008982995975797025
108.63621207069023,-27.887693842120814,0.00899583156400028
108.73624541513838,-27.874005649005216,0.009008696319991363
108.83627875958653,-27.860291618613154,0.009021590493256031
108.93631210403468,-27.846551486181703,0.009034514336491713
109.03634544848283,-27.832784983827796,0.009047468105607515
109.13637879293098,-27.818991840548225,0.00906045205972421
109.23641213737913,-27.80517178221963,0.009073466461174243
109.33644548182728,-27.791324531598505,0.009086511575501733
109.43647882627543,-27.777449808321197,0.009099587671462472
109.53651217072358,-27.763547328903908,0.00911269502102392
109.63654551517173,-27.74961680674269,0.00912583389936521
109.73657885961988,-27.735657952113456,0.009139004584877153
109.83661220406803,-27.721670472171965,0.009152207359162223
109.93664554851618,-27.707654070953833,0.009165442507034572
110.03667889296433,-27.693608449374533,0.009178710316520022
110.13671223741248,-27.679533305229388,0.009192011078856067
110.23674558186063,-27.665428333193567,0.009205345088491875
110.33677892630878,-27.65129322482211,0.009218712643088283
110.43681227075693,-27.63712766854989,0.009232114043517798
110.53684561520508,-27.622931349691655,0.009245549593864607
110.63687895965323,-27.60870395044199,0.009259019601424561
110.73691230410137,-27.59444514987534,0.009272524376705185
110.83694564854952,-27.580154623946,0.009286064233425683
110.93697899299767,-27.56583204548813,0.00929963948851692
111.03701233744582,-27.551477084215726,0.00931325046212144
111.13704568189397,-27.537089406722654,0.009326897477593457
111.23707902634212,-27.52266867648262,0.009340580861498854
111.33711237079027,-27.508214553849196,0.009354300943615194
111.43714571523842,-27.4937266960558,0.009368058056931704
111.53717905968657,-27.479204757215697,0.009381852537649286
111.63721240413471,-27.464648388322026,0.009395684725180516
111.73724574858286,-27.45005723724776,0.009409554962149637
111.83727909303101,-27.43543094874573,0.009423463594392568
111.93731243747916,-27.42076916444863,0.009437410970956902
112.03734578192731,-27.406071522869,0.009451397444101896
112.13737912637546,-27.39133765939923,0.009465423369298486
112.23741247082361,-27.37656720631157,0.00947948910522928
112.33744581527176,-27.361759792758125,0.009493595013788554
112.43747915971991,-27.34691504477085,0.009507741460082257
112.53751250416806,-27.332032585261548,0.009521928812428011
112.63754584861621,-27.317112034021886,0.00953615744235511
112.73757919306436,-27.302153007723376,0.009550427724604522
112.83761253751251,-27.287155119917394,0.009564740037128884
112.93764588196066,-27.27211798103516,0.009579094761092503
113.03767922640881,-27.25704119838775,0.009593492280871365
113.13771257085696,-27.241924376166093,0.00960793298405312
113.23774591530511,-27.226767115440975,0.009622417261437095
113.33777925975326,-27.211569014163032,0.009636945507034289
113.43781260420141,-27.196329667162757,0.00965151811806737
113.53784594864956,-27.181048666150495,0.00966613549497068
113.63787929309771,-27.165725599716442,0.009680798041390232
113.73791263754586,-27.15036005333065,0.009695506164183715
113.83794598199401,-27.134951609343023,0.009710260273420484
113.93797932644216,-27.119499846983324,0.009725060782381568
114.0380126708903,-27.104004342361165,0.00973990810755967
114.13804601533845,-27.088464668466006,0.009754802668659163
114.2380793597866,-27.07288039516717,0.009769744888596093
114.33811270423475,-27.057251089213835,0.009784735193498179
114.4381460486829,-27.041576314235023,0.009799774012704808
114.53817939313105,-27.025855630739613,0.009814861778767043
114.6382127375792,-27.010088596116343,0.009829998927447616
114.73824608202735,-26.9942747646338,0.009845185897720935
114.8382794264755,-26.978413687440423,0.009860423131773075
114.93831277092364,-26.962504912564505,0.009875711075001788
115.0383461153718,-26.946547984914197,0.009891050176016493
115.13837945981994,-26.930542446277503,0.009906440886638286
115.2384128042681,-26.914487835322277,0.00992188366189993
115.33844614871624,-26.898383687596223,0.009937378960045864
115.4384794931644,-26.882229083421834,0.009952927704806588
115.53851283761254,-26.86602299282675,0.009968530936042608
115.6385461820607,-26.849765013618008,0.009984189053764457
115.73857952650884,-26.833454736009525,0.009999902465706895
115.838612870957,-26.817091739279533,0.010015671590741088
115.93864621540514,-26.800675591770577,0.010031496858874615
116.03867955985329,-26.784205850889528,0.010047378711251461
116.13871290430144,-26.76768206310757,0.010063317600152027
116.23874624874959,-26.751103763960213,0.010079313988993118
116.33877959319774,-26.734470478047268,0.010095368352327952
116.43881293764589,-26.71778171903288,0.010111481175846156
116.53884628209404,-26.70103698964551,0.010127652956373766
116.63887962654219,-26.684235781677923,0.010143884201873229
116.73891297099034,-26.667377575987224,0.010160175431443404
116.83894631543849,-26.650461842494817,0.010176527175319555
116.93897965988664,-26.633488040186435,0.01019293997487336
117.03901300433479,-26.616455617112123,0.010209414382612907
117.13904634878294,-26.59936401038625,0.01022595096218269
117.23907969323109,-26.582212646187497,0.010242550288363616
117.33911303767923,-26.565000939758864,0.010259212947073
117.43914638212738,-26.547728295407673,0.01027593953536457
117.53917972657553,-26.530394106505558,0.010292730661428464
117.63921307102368,-26.512997755488474,0.010309586944591224
